,date,time,static
0,('date=2021-06-30', 'time=20:32:25'," 'down""')"
1,('date=2021-06-30', 'time=20:32:25'," 'down""')"
7,('date=2021-06-30', 'time=19:32:05'," 'up""')"
8,('date=2021-06-30', 'time=19:32:04'," 'up""')"
9,('date=2021-06-30', 'time=15:28:22'," 'down""')"
10,('date=2021-06-30', 'time=15:28:20'," 'down""')"
12,('date=2021-06-30', 'time=15:15:37'," 'up""')"
13,('date=2021-06-30', 'time=15:15:36'," 'up""')"
14,('date=2021-06-30', 'time=15:09:24'," 'down""')"
15,('date=2021-06-30', 'time=15:04:00'," 'up""')"
16,('date=2021-06-30', 'time=15:03:59'," 'up""')"
17,('date=2021-06-30', 'time=15:01:40'," 'down""')"
21,('date=2021-06-30', 'time=14:22:40'," 'up""')"
22,('date=2021-06-30', 'time=14:22:40'," 'up""')"
23,('date=2021-06-30', 'time=12:08:44'," 'down""')"
24,('date=2021-06-30', 'time=12:08:44'," 'down""')"
42,('date=2021-06-30', 'time=09:12:43'," 'up""')"
43,('date=2021-06-30', 'time=09:12:42'," 'up""')"
44,('date=2021-06-30', 'time=09:07:44'," 'down""')"
91,('date=2021-06-30', 'time=01:17:33'," 'up""')"
92,('date=2021-06-30', 'time=01:17:32'," 'up""')"
93,('date=2021-06-29', 'time=21:41:24'," 'down""')"
94,('date=2021-06-29', 'time=21:41:23'," 'down""')"
101,('date=2021-06-29', 'time=20:33:22'," 'up""')"
102,('date=2021-06-29', 'time=20:33:22'," 'up""')"
103,('date=2021-06-29', 'time=20:26:07'," 'down""')"
104,('date=2021-06-29', 'time=20:19:43'," 'up""')"
105,('date=2021-06-29', 'time=20:19:42'," 'up""')"
109,('date=2021-06-29', 'time=20:16:57'," 'down""')"
110,('date=2021-06-29', 'time=20:09:23'," 'up""')"
111,('date=2021-06-29', 'time=20:09:22'," 'up""')"
112,('date=2021-06-29', 'time=19:30:04'," 'down""')"
113,('date=2021-06-29', 'time=19:30:02'," 'down""')"
114,('date=2021-06-29', 'time=19:27:47'," 'up""')"
115,('date=2021-06-29', 'time=19:27:46'," 'up""')"
116,('date=2021-06-29', 'time=19:07:30'," 'down""')"
117,('date=2021-06-29', 'time=19:02:09'," 'up""')"
118,('date=2021-06-29', 'time=19:02:08'," 'up""')"
119,('date=2021-06-29', 'time=18:57:40'," 'down""')"
120,('date=2021-06-29', 'time=18:57:40'," 'down""')"
128,('date=2021-06-29', 'time=17:45:16'," 'up""')"
129,('date=2021-06-29', 'time=17:45:16'," 'up""')"
130,('date=2021-06-29', 'time=17:01:22'," 'down""')"
132,('date=2021-06-29', 'time=16:45:03'," 'up""')"
133,('date=2021-06-29', 'time=16:45:02'," 'up""')"
134,('date=2021-06-29', 'time=16:37:11'," 'down""')"
135,('date=2021-06-29', 'time=16:37:10'," 'down""')"
136,('date=2021-06-29', 'time=16:32:20'," 'up""')"
137,('date=2021-06-29', 'time=16:32:20'," 'up""')"
138,('date=2021-06-29', 'time=16:32:06'," 'down""')"
139,('date=2021-06-29', 'time=16:29:48'," 'up""')"
140,('date=2021-06-29', 'time=16:29:47'," 'up""')"
141,('date=2021-06-29', 'time=11:20:01'," 'down""')"
142,('date=2021-06-29', 'time=11:19:59'," 'down""')"
150,('date=2021-06-29', 'time=10:03:27'," 'up""')"
151,('date=2021-06-29', 'time=10:03:27'," 'up""')"
152,('date=2021-06-28', 'time=18:04:21'," 'down""')"
153,('date=2021-06-28', 'time=18:04:19'," 'down""')"
162,('date=2021-06-28', 'time=16:38:33'," 'up""')"
163,('date=2021-06-28', 'time=16:38:32'," 'up""')"
164,('date=2021-06-28', 'time=16:38:00'," 'down""')"
178,('date=2021-06-28', 'time=14:22:46'," 'up""')"
179,('date=2021-06-28', 'time=14:22:46'," 'up""')"
180,('date=2021-06-28', 'time=14:22:03'," 'down""')"
181,('date=2021-06-28', 'time=14:22:01'," 'down""')"
185,('date=2021-06-28', 'time=13:47:49'," 'up""')"
186,('date=2021-06-28', 'time=13:47:48'," 'up""')"
187,('date=2021-06-28', 'time=13:47:25'," 'down""')"
188,('date=2021-06-28', 'time=13:47:23'," 'down""')"
189,('date=2021-06-28', 'time=13:45:53'," 'up""')"
190,('date=2021-06-28', 'time=13:45:52'," 'up""')"
191,('date=2021-06-28', 'time=13:45:24'," 'down""')"
192,('date=2021-06-28', 'time=13:45:23'," 'down""')"
217,('date=2021-06-28', 'time=09:41:10'," 'up""')"
218,('date=2021-06-28', 'time=09:41:10'," 'up""')"
219,('date=2021-06-25', 'time=18:44:47'," 'down""')"
220,('date=2021-06-25', 'time=18:44:47'," 'down""')"
224,('date=2021-06-25', 'time=18:12:58'," 'up""')"
